,,,,,Загальна інформація,,,,Надходження до місцевих бюджетів (загальний фонд),,,,,,,Частка місцевих податків в дохідній частині бюджету загального фонду ,,,,,,ПДФО та індекс податковспроможності,,,,,,,Акциз,,,,,,Плата за землю,,,,,,Єдиний податок,,,,,,Частка витрати на оплату праці загальнодержавних функцій,,,,,
Хмельницька область,Шепетівський район,Михайлюцька,сільська територіальна громада,UA68060150000029549,,5.179,5.103,268.4,18152.35958,14780.94871,-18.6%,3327.74684,3312.81613,менше 5,-0.4%,23.35901033,30.93909092,35.04,29.72,20-40,-15.2%,0.597135344,0,3925.1,1863.540936,0.527475573,0,5169.4,19.52170295,64.90492374,8.5,14.4,менше 25,70.5%,626.8294433,652.6502601,13.14,17.49,менше 25,33.1%,182.5337083,199.2281111,47.4,66.16,менше 100,39.6%,20.91,29.03,28.3%,50.0%,більше 50,76.9%
Івано-Франківська область,Калуський район,Новицька,сільська територіальна громада,UA26060190000099075,,14.089,13.937,140.9,57594.38156,19542.409,-66.1%,4143.40284,4821.73767,менше 5,16.4%,8.528808014,34.97826071,38.61,34.93,20-40,-9.5%,0.155141064,0,26230.3,484.1644807,0.16607789,0,27781.1,20.12145126,23.40070609,4.9,5.6,менше 25,14.3%,90.51462956,66.17339928,2.93,2.98,менше 25,1.7%,253.0949124,413.5052158,106.6,105.97,100-200,-0.6%,21.54,50.53,55.5%,50.1%,більше 50,-9.9%
Дніпропетровська область,Дніпровський район,Сурсько-Литовська,сільська територіальна громада,UA12020290000063321,,5.858,5.786,121.6,36415.32776,21570.7742,-40.8%,4197.44663,4152.39997,менше 5,-1.1%,18.97172242,44.39580833,43.35,44.10,більше 40,1.7%,0.39816073,0,7486.2,1242.580643,0.456792958,0,7057,14.71678661,16.97125767,3.4,4.3,менше 25,25.3%,377.0518812,467.8850682,53.70,33.26,25-50,-38.1%,739.0163883,1100.903739,215.1,245.06,200-500,13.9%,22.36,31.69,32.8%,50.1%,більше 50,52.8%
Херсонська область,Бериславський район,Кочубеївська,сільська територіальна громада,UA65020110000081240,,2.956,2.898,206.1,23399.01123,15117.7348,-35.4%,2800.90235,2130.89662,менше 5,-23.9%,29.14792524,46.14472401,33.5,50.50,більше 40,50.7%,0.558231,0,2535.9,1742.128197,0.594821789,0,2411.4,14.69638627,15.77463255,3.9,2.3,менше 25,-40.8%,1466.134088,1520.515924,13.48,11.55,менше 25,-14.3%,815.4228365,862.3960199,146.8,149.64,100-200,1.9%,30.57,34.22,42.3%,50.2%,більше 50,18.7%
Закарпатська область,Берегівський район,Великобийганська,сільська територіальна громада,UA21020070000015036,,7.645,7.585,97.4,23875.03864,20247.16372,-15.2%,4398.3628,5179.2494,5-20,17.8%,19.97140546,25.22441217,26.31,21.64,20-40,-17.7%,0.426063788,0,9054.2,1329.660551,0.384394111,0,10619,553.045315,465.8059631,94.9,78.5,50-100,-17.3%,231.2418217,224.7781067,17.48,13.69,менше 25,-21.7%,354.6071354,404.2494664,111.8,94.96,менше 100,-15.1%,32.82,44.81,49.8%,50.3%,більше 50,0.9%
Херсонська область,Каховський район,Присиваська,сільська територіальна громада,UA65060190000091058,,4.872,4.816,398.7,37791.58327,25436.09574,-32.7%,4322.25408,4053.33839,менше 5,-6.2%,21.33091205,37.78193194,31.19,31.81,20-40,2.0%,0.662516516,0,2910.6,2067.582603,0.956957548,0,0,8.975302506,37.03044641,2.6,8.2,менше 25,212.7%,556.9862518,917.7131043,11.07,6.59,менше 25,-40.5%,1045.293811,1012.99639,148.2,104.97,100-200,-29.2%,29.74,36.07,53.4%,50.3%,більше 50,-5.9%
Закарпатська область,Хустський район,Довжанська,сільська територіальна громада,UA21120070000032447,,16.845,16.801,257.5,21013.30832,22747.03616,8.3%,4864.40686,6654.93401,5-20,36.8%,27.45880573,27.91184836,27.45,26.31,20-40,-4.2%,0.229518629,0,28221.1,716.2821045,0.206559659,0,31628.3,36.61892698,37.80080731,9.4,11.7,менше 25,24.8%,101.1715469,110.7259605,11.10,12.58,менше 25,13.3%,217.0918607,219.7436124,56.2,72.07,менше 100,28.2%,30.73,44.45,36.4%,50.3%,більше 50,38.2%
Черкаська область,Черкаський район,Березняківська,сільська територіальна громада,UA71080030000050121,,5.596,5.495,193.2,32031.31991,18079.03051,-43.6%,3562.12768,3295.01368,менше 5,-7.5%,19.22739696,43.09914509,39.14,37.90,20-40,-3.2%,0.692464416,0,2916.6,2161.044058,0.664336701,0,3535,15.46378931,16.9798987,4.2,3.5,менше 25,-16.0%,498.6312844,672.6900687,30.06,29.65,25-50,-1.4%,570.2550293,674.5737699,137.2,130.09,100-200,-5.2%,25.30,42.36,56.3%,50.3%,більше 50,-10.5%
Івано-Франківська область,Калуський район,Дубівська,сільська територіальна громада,UA26060150000074921,,7.013,6.958,91.9,20918.53453,24406.70753,16.7%,5600.99409,6443.23362,5-20,15.0%,44.33086236,43.3007407,43.65,32.85,20-40,-24.7%,0.271831094,0,11014.3,848.3309127,0.282134737,0,11682.3,82.94031041,76.07234214,16.1,10.9,менше 25,-32.1%,1020.288586,1049.273482,118.76,123.36,100-200,3.9%,213.3618326,344.0174455,74.8,73.35,менше 100,-1.9%,37.20,37.40,31.6%,50.8%,більше 50,60.9%
Миколаївська область,Баштанський район,Софіївська,сільська територіальна громада,UA48020210000024814,,5.729,5.65,426.5,37284.52617,25856.36279,-30.7%,3908.50808,4077.74639,менше 5,4.3%,31.18635298,43.24404059,33.7,36.15,20-40,7.3%,0.442560568,0,6563.4,1381.143727,0.503544139,0,6088.9,36.3491352,31.76365018,6.6,6.9,менше 25,4.7%,1232.441831,1176.427505,21.06,15.55,менше 25,-26.2%,707.3637724,751.7191873,140.0,193.61,100-200,38.3%,18.21,30.46,42.0%,50.9%,більше 50,21.2%
Чернігівська область,Прилуцький район,Яблунівська,сільська територіальна громада,UA74080210000098421,,3.463,3.386,282.9,21293.99683,22272.47256,4.6%,3842.70883,3009.52048,менше 5,-21.7%,44.1944406,49.02314591,55.29,45.86,більше 40,-17.0%,0.973060272,0,0,3036.728055,0.802067859,0,904.3,10.81061388,13.73518954,2.9,4.1,менше 25,42.7%,1285.488078,1508.435915,4.69,7.59,менше 25,61.8%,1368.470026,1634.702815,275.2,163.48,100-200,-40.6%,33.60,29.40,30.4%,50.9%,більше 50,67.5%
Житомирська область,Житомирський район,Курненська,сільська територіальна громада,UA18040270000050167,,8.017,7.924,325.2,56341.55064,21917.38174,-61.1%,4189.4415,4078.81385,менше 5,-2.6%,14.67555503,45.5913365,45.16,41.32,більше 40,-8.5%,0.257193582,0,12885.4,802.6501432,0.269252774,0,13599.7,213.4661577,271.3983187,50.5,39.9,25-50,-21.1%,730.6277419,887.5452467,46.11,45.40,25-50,-1.6%,278.0201557,318.1439403,68.0,103.04,100-200,51.5%,21.43,49.94,54.1%,51.1%,більше 50,-5.6%
Житомирська область,Бердичівський район,Вчорайшенська,сільська територіальна громада,UA18020050000058053,,5.219,5.101,270.9,41027.12515,30154.83289,-26.5%,5098.03445,5025.86992,5-20,-1.4%,27.10461547,41.2514559,61.15,54.49,більше 40,-10.9%,0.681729768,0,2897.5,2127.543352,0.618178761,0,3942.1,20.73296972,27.65856256,5.6,6.6,менше 25,16.4%,670.919321,767.035969,23.94,17.74,менше 25,-25.9%,1388.334687,1594.671996,422.7,344.87,200-500,-18.4%,23.20,28.83,41.9%,51.4%,більше 50,22.5%
Сумська область,Шосткинський район,Шалигинська,селищна територіальна громада,UA59100150000074932,,4.264,4.2,275.6,35871.13953,32617.49035,-9.1%,6418.34594,4915.96955,менше 5,-23.4%,33.38720751,44.26080344,46.78,37.26,20-40,-20.4%,0.952901709,0,0,2973.817179,1.013527774,0,0,11.2781797,10.26373757,2.5,2.1,менше 25,-14.0%,1831.85646,2081.241049,22.44,15.20,менше 25,-32.3%,935.9999323,1293.432459,297.5,303.97,200-500,2.2%,34.84,37.01,45.3%,51.6%,більше 50,13.8%
Чернівецька область,Вижницький район,Банилівська,сільська територіальна громада,UA73020010000044067,,7.386,7.358,81.3,15372.84676,10433.98507,-32.1%,2184.88977,2566.25932,менше 5,17.5%,25.02782978,35.10012258,35.25,28.83,20-40,-18.2%,0.169492465,0,13474.3,528.9523552,0.190117995,0,14175.2,26.67139957,25.88099878,6.3,7.1,менше 25,11.6%,318.4670222,248.7737967,29.54,17.59,менше 25,-40.5%,177.3268679,221.0235752,54.7,62.00,менше 100,13.4%,23.73,50.23,52.7%,51.6%,більше 50,-2.1%
Дніпропетровська область,Кам'янський район,Лихівська,селищна територіальна громада,UA12040190000056469,,4.935,4.846,466.5,33111.66801,25046.04475,-24.4%,3819.16707,3636.03727,менше 5,-4.8%,33.60150116,49.4871848,56.26,53.01,більше 40,-5.8%,0.551223597,0,4302.5,1720.259482,0.572496061,0,4311.8,65.40604736,73.95104905,14.6,12.9,менше 25,-11.4%,1154.697673,1335.583349,18.89,19.27,менше 25,2.1%,1066.838846,1166.417226,265.9,257.48,200-500,-3.2%,32.96,35.54,60.0%,51.6%,більше 50,-13.9%
Дніпропетровська область,Синельниківський район,Новопавлівська,сільська територіальна громада,UA12140190000047361,,3.969,3.901,327.1,30677.87194,22821.90185,-25.6%,3275.30298,3495.08328,менше 5,6.7%,29.90658983,42.239097,60.95,44.41,більше 40,-27.1%,0.661127611,0,2640.2,2063.248107,0.708936537,0,2242.3,7.317348091,8.450393064,2.0,2.3,менше 25,12.9%,758.8235171,715.9901087,2.36,1.93,менше 25,-18.1%,1306.97934,1504.881896,407.4,278.27,200-500,-31.7%,18.91,24.39,36.9%,52.1%,більше 50,41.1%
Миколаївська область,Баштанський район,Володимирівська,сільська територіальна громада,UA48020070000050731,,3.427,3.358,346.7,24057.053,21140.96648,-12.1%,3198.63138,3403.23257,менше 5,6.4%,33.30897384,42.10785868,52.34,47.97,більше 40,-8.3%,0.814086853,0,736.4,2540.603554,0.794800208,0,960.6,21.93920769,20.73580981,4.7,5.7,менше 25,20.7%,1028.262013,1101.225058,66.37,20.50,менше 25,-69.1%,1240.265028,1405.78263,347.4,360.18,200-500,3.7%,26.37,29.42,55.3%,52.1%,більше 50,-5.7%
Миколаївська область,Баштанський район,Вільнозапорізька,сільська територіальна громада,UA48020050000023194,,5.606,5.527,365.6,45984.32895,23741.26773,-48.4%,3368.50376,3635.76259,менше 5,7.9%,24.03526615,50.86543662,41.01,44.32,більше 40,8.1%,0.47389211,0,5974.5,1478.923255,0.488806243,0,6176.9,42.83436966,35.07430816,8.2,7.8,менше 25,-4.8%,1322.125661,1369.48354,39.80,83.42,50-100,109.6%,503.5225196,631.2439541,90.6,140.55,100-200,55.2%,18.04,30.80,41.5%,52.2%,більше 50,25.8%
Закарпатська область,Ужгородський район,Ставненська,сільська територіальна громада,UA21100170000051803,,7.102,7.002,299.5,15598.69444,16278.04392,4.4%,3756.14262,4688.79832,менше 5,24.8%,41.30768427,49.50388001,49.53,50.61,більше 40,2.2%,0.265720323,0,11263.9,829.2604105,0.268766632,0,12013.8,22.10537888,29.94165811,7.6,4.4,менше 25,-42.8%,683.5751764,840.3312304,188.25,218.13,більше 200,15.9%,146.0457008,209.1768791,53.1,95.61,менше 100,80.0%,48.95,61.96,63.9%,52.4%,більше 50,-17.9%
Хмельницька область,Шепетівський район,Берездівська,сільська територіальна громада,UA68060010000056690,,8.42,8.297,318.3,54497.30781,24201.82477,-55.6%,4192.74439,4069.95752,менше 5,-2.9%,12.56985287,30.71411086,34.05,36.25,20-40,6.5%,0.464508683,0,9185.2,1449.639441,0.462429734,0,9886.9,20.03542259,19.21743005,4.5,5.0,менше 25,11.3%,275.0014015,336.7739582,5.63,7.39,менше 25,31.3%,431.1693419,497.0791654,113.1,128.68,100-200,13.8%,16.40,30.52,37.6%,52.5%,більше 50,39.4%
Одеська область,Роздільнянський район,Цебриківська,селищна територіальна громада,UA51140170000019764,,4.975,4.931,286.8,37583.90426,17108.83374,-54.5%,2808.71461,3123.97774,менше 5,11.2%,30.80603745,51.0415015,53.12,51.87,більше 40,-2.3%,0.496355661,0,5021.6,1549.02754,0.38906632,0,6847.4,26.07766205,14.58432476,6.0,3.7,менше 25,-39.1%,1632.502571,1056.130227,100.90,124.32,100-200,23.2%,674.0876962,670.8484167,101.2,139.32,100-200,37.7%,19.86,37.24,50.4%,52.5%,більше 50,4.1%
Закарпатська область,Мукачівський район,Жденіївська,селищна територіальна громада,UA21040090000072363,,4.742,4.699,204.8,11210.44666,13254.03906,18.2%,2651.4079,2939.90778,менше 5,10.9%,41.44730768,36.94182594,37.62,29.64,20-40,-21.2%,0.301579326,0,7092.2,941.1692437,0.292149983,0,7760.3,20.78616811,25.46899681,7.0,6.7,менше 25,-4.7%,512.2082326,500.8684846,70.83,65.38,50-100,-7.7%,288.2100653,331.7715473,80.7,52.11,менше 100,-35.4%,45.68,44.25,55.2%,52.6%,більше 50,-4.8%
Дніпропетровська область,Синельниківський район,Українська,сільська територіальна громада,UA12140370000059352,,2.587,2.534,258.8,25768.89507,19353.84244,-24.9%,2861.21521,2804.35582,менше 5,-2.0%,37.65498906,55.08846961,63.07,56.10,більше 40,-11.0%,0.667610519,0,1590.3,2083.479974,0.665149538,0,1700.8,14.29220722,15.01308355,3.2,5.1,менше 25,57.7%,2063.876881,2080.980442,40.38,30.90,25-50,-23.5%,1392.821321,1780.248943,417.7,432.46,200-500,3.5%,17.32,24.96,35.4%,52.6%,більше 50,48.7%
Івано-Франківська область,Коломийський район,Нижньовербізька,сільська територіальна громада,UA26080130000058024,,13.299,13.182,97.8,58594.32724,21963.87026,-62.5%,5486.41086,4998.24378,менше 5,-8.9%,11.53696624,44.25334008,51.74,33.51,20-40,-35.2%,0.203072832,0,23171.3,633.7500188,0.21132005,0,24663.2,62.96211309,59.79061449,14.6,10.3,менше 25,-29.5%,118.0689562,126.9134983,3.15,3.56,менше 25,13.0%,327.8927679,495.7996007,188.2,91.25,менше 100,-51.5%,17.50,47.74,40.1%,52.7%,більше 50,31.2%
Закарпатська область,Мукачівський район,Верхньокоропецька,сільська територіальна громада,UA21040030000026359,,7.296,7.251,82.3,23084.90728,24430.31395,5.8%,5181.12364,5489.25578,5-20,5.9%,20.1246522,20.97881419,21.46,19.99,10-20,-6.8%,0.354931317,0,9953.2,1107.670221,0.330524377,0,11232.5,1140.751352,1285.67343,242.5,186.5,100-200,-23.1%,121.7877509,108.3068249,11.79,11.91,менше 25,1.0%,473.6598674,540.7866887,126.7,130.93,100-200,3.3%,27.87,40.49,28.6%,52.8%,більше 50,84.8%
Івано-Франківська область,Івано-Франківський район,Олешанська,сільська територіальна громада,UA26040250000061081,,8.924,8.796,156.2,48925.32489,17502.97082,-64.2%,3484.39325,4242.16565,менше 5,21.7%,18.1624017,44.10615135,43.35,46.45,більше 40,7.2%,0.214708602,0,15275.2,670.062948,0.24855193,0,15553.8,48.83662522,59.41952495,13.1,10.7,менше 25,-18.4%,352.0884577,368.8698875,5.57,4.25,менше 25,-23.8%,600.8369041,458.1564848,116.6,165.42,100-200,41.9%,19.28,47.54,52.1%,52.8%,більше 50,1.4%
Одеська область,Білгород-Дністровський район,Лиманська,сільська територіальна громада,UA51040090000096249,,4.622,4.577,205.4,33029.56404,20325.12064,-38.5%,3554.64573,3061.36382,менше 5,-13.9%,29.53799317,61.97206459,58.17,51.36,більше 40,-11.7%,0.353378959,0,6314.5,1102.825619,0.316527837,0,7257.5,12.1079209,18.62135689,2.8,1.2,менше 25,-57.3%,1476.399401,1924.908647,52.02,42.66,25-50,-18.0%,522.1749924,556.7098277,125.0,113.73,100-200,-9.1%,19.73,29.75,45.8%,53.0%,більше 50,15.8%
Запорізька область,Мелітопольський район,Олександрівська,сільська територіальна громада,UA23080190000065134,,6.235,6.125,639.5,58971.65247,41250.36681,-30.1%,8520.87226,5745.84585,5-20,-32.6%,26.71607437,39.25871739,53.48,43.40,більше 40,-18.8%,0.863147038,0,575.9,2693.710657,0.931274616,0,0,59.02566544,65.47392972,12.4,6.2,менше 25,-49.9%,1126.809663,1030.751523,6.40,3.79,менше 25,-40.8%,1237.007263,1383.125831,449.5,220.60,200-500,-50.9%,26.77,33.12,37.4%,53.0%,більше 50,41.7%
